,sex,hours,INCOME,workclass,marital,Education,Age
42,0.0,0.404040404040404,0.0,3,0,3,4
43,0.0,0.4545454545454545,0.0,4,4,8,2
44,0.0,0.404040404040404,0.0,3,4,8,2
45,1.0,0.303030303030303,0.0,3,4,7,1
46,0.0,0.404040404040404,0.0,3,5,4,4
47,1.0,0.404040404040404,0.0,3,2,3,1
48,1.0,0.202020202020202,0.0,3,4,4,0
49,0.0,0.303030303030303,0.0,3,4,3,1
50,1.0,0.303030303030303,0.0,3,4,4,1
51,0.0,0.3535353535353535,0.0,1,4,8,3
52,1.0,0.404040404040404,0.0,3,2,4,2
53,1.0,0.404040404040404,0.0,3,2,4,2
54,1.0,0.7070707070707071,0.0,4,5,8,3
55,1.0,0.5050505050505051,0.0,3,2,3,2
56,1.0,0.404040404040404,0.0,3,2,2,3
57,1.0,0.404040404040404,0.0,3,2,4,3
58,0.0,0.404040404040404,0.0,3,0,6,3
59,1.0,0.3737373737373737,0.0,3,2,7,5
60,0.0,0.1515151515151515,0.0,3,4,4,0
61,1.0,0.404040404040404,0.0,3,2,5,4
62,1.0,0.404040404040404,0.0,3,2,2,1
63,1.0,0.404040404040404,0.0,5,2,3,1
64,0.0,0.404040404040404,0.0,3,5,3,3
65,1.0,0.3838383838383838,0.0,3,4,5,1
66,0.0,0.404040404040404,0.0,3,0,3,1
67,1.0,0.404040404040404,0.0,6,4,4,1
68,1.0,0.494949494949495,0.0,3,4,4,1
69,1.0,0.404040404040404,0.0,3,4,8,1
70,1.0,0.404040404040404,0.0,1,2,4,4
71,1.0,0.5050505050505051,0.0,3,0,4,3
72,1.0,0.404040404040404,0.0,3,0,0,2
73,0.0,0.303030303030303,0.0,3,4,1,1
74,0.0,0.303030303030303,0.0,3,4,8,1
75,0.0,0.404040404040404,0.0,0,6,5,5
76,0.0,0.404040404040404,0.0,3,4,4,2
77,1.0,0.404040404040404,0.0,3,2,5,3
78,0.0,0.3737373737373737,0.0,3,6,3,3
79,1.0,0.6060606060606061,1.0,3,2,8,2
80,1.0,0.404040404040404,0.0,3,4,0,1
81,1.0,0.404040404040404,0.0,3,4,1,2
82,0.0,0.404040404040404,0.0,3,4,5,1
83,0.0,0.404040404040404,0.0,3,4,3,3
84,1.0,0.404040404040404,0.0,3,4,4,4
85,1.0,0.404040404040404,0.0,3,4,3,1
86,1.0,0.404040404040404,0.0,3,2,4,3
87,0.0,0.404040404040404,0.0,3,4,4,1
88,1.0,0.6565656565656566,0.0,5,0,8,4
89,1.0,0.404040404040404,1.0,3,2,8,4
90,1.0,0.404040404040404,0.0,3,4,4,1
91,1.0,0.404040404040404,0.0,3,2,8,1
92,1.0,0.404040404040404,1.0,4,2,8,4
93,0.0,0.3535353535353535,0.0,1,0,8,4
94,1.0,0.6060606060606061,0.0,3,2,4,3
95,1.0,0.6060606060606061,0.0,3,4,4,1
96,0.0,0.0808080808080808,1.0,5,2,8,2
97,1.0,0.404040404040404,0.0,3,4,8,1
98,1.0,0.404040404040404,0.0,5,2,5,4
99,1.0,0.202020202020202,0.0,3,4,4,1
100,1.0,0.404040404040404,0.0,3,4,4,2
101,0.0,0.404040404040404,0.0,3,4,4,1
102,1.0,0.202020202020202,0.0,3,4,3,0
103,1.0,0.404040404040404,0.0,5,2,3,2
104,0.0,0.5050505050505051,0.0,1,4,5,1
105,1.0,0.202020202020202,0.0,3,4,7,0
106,1.0,0.404040404040404,0.0,6,4,3,4
107,1.0,0.1616161616161616,0.0,3,4,1,0
108,1.0,0.404040404040404,0.0,3,4,3,1
109,1.0,0.2727272727272727,0.0,5,0,3,3
110,1.0,0.404040404040404,0.0,3,4,3,1
111,1.0,0.404040404040404,0.0,3,4,8,1
112,0.0,0.0707070707070707,0.0,3,4,1,0
113,1.0,0.404040404040404,0.0,3,2,5,4
114,1.0,0.404040404040404,0.0,3,4,3,1
115,1.0,0.404040404040404,1.0,3,2,8,3
116,1.0,0.4646464646464646,0.0,3,2,4,1
117,1.0,0.404040404040404,0.0,3,4,1,1
118,1.0,0.404040404040404,0.0,3,2,3,4
119,1.0,0.2525252525252525,0.0,1,4,3,1
120,1.0,0.5050505050505051,0.0,3,2,4,1
121,0.0,0.404040404040404,1.0,3,2,3,2
122,1.0,0.404040404040404,0.0,3,2,4,2
123,1.0,0.2525252525252525,1.0,3,2,8,3
124,0.0,0.303030303030303,0.0,3,5,4,2
125,1.0,0.6060606060606061,1.0,0,2,8,3
126,1.0,0.404040404040404,0.0,6,0,8,3
127,1.0,0.404040404040404,0.0,3,4,3,2
128,0.0,0.3636363636363636,0.0,3,0,3,3
129,1.0,0.404040404040404,0.0,3,4,3,1
130,1.0,0.404040404040404,0.0,6,0,8,3
131,0.0,0.101010101010101,0.0,3,6,3,5
132,1.0,0.404040404040404,0.0,3,0,4,3
133,1.0,0.404040404040404,0.0,5,0,8,2
134,0.0,0.3838383838383838,0.0,3,0,3,3
135,1.0,0.404040404040404,0.0,0,2,4,2
136,1.0,0.202020202020202,0.0,3,4,3,0
137,1.0,0.5050505050505051,1.0,3,2,8,3
138,1.0,0.404040404040404,0.0,3,2,0,4
139,1.0,0.404040404040404,0.0,3,4,3,1
140,1.0,0.404040404040404,1.0,0,2,8,3
141,1.0,0.4545454545454545,0.0,3,2,4,1
142,1.0,0.303030303030303,0.0,3,4,3,0
143,1.0,0.4545454545454545,1.0,3,2,8,2
144,1.0,0.404040404040404,0.0,3,2,4,2
145,1.0,0.404040404040404,0.0,3,4,3,1
146,0.0,0.404040404040404,0.0,3,0,3,3
147,0.0,0.0808080808080808,0.0,3,4,1,0
148,1.0,0.404040404040404,0.0,1,4,3,1
149,1.0,0.404040404040404,1.0,6,2,8,4
150,1.0,0.404040404040404,0.0,3,2,4,1
151,1.0,0.3535353535353535,0.0,3,4,3,2
152,0.0,0.3535353535353535,0.0,3,0,8,3
153,0.0,0.404040404040404,0.0,3,4,8,2
154,0.0,0.303030303030303,0.0,3,4,3,1
155,1.0,0.303030303030303,0.0,1,4,3,1
156,0.0,0.404040404040404,0.0,3,4,8,1
157,1.0,0.8080808080808081,0.0,3,2,3,4
158,0.0,0.404040404040404,0.0,3,4,8,1
159,1.0,0.404040404040404,1.0,3,2,8,4
160,1.0,0.404040404040404,0.0,3,2,7,3
161,1.0,0.404040404040404,1.0,1,2,4,3
162,1.0,0.404040404040404,0.0,3,4,7,1
163,0.0,0.404040404040404,0.0,3,0,3,2
164,1.0,0.404040404040404,0.0,3,2,3,2
165,0.0,0.404040404040404,0.0,3,3,4,3
166,1.0,0.4545454545454545,0.0,3,2,3,2
167,1.0,0.404040404040404,0.0,3,4,4,1
168,1.0,0.6060606060606061,0.0,5,2,3,3
169,1.0,0.404040404040404,0.0,3,4,3,1
170,1.0,0.4545454545454545,0.0,3,2,3,5
171,1.0,0.404040404040404,0.0,3,2,3,2
172,1.0,0.303030303030303,0.0,4,2,4,6
173,0.0,0.404040404040404,0.0,3,5,4,2
174,1.0,0.404040404040404,0.0,3,0,3,2
175,1.0,0.404040404040404,1.0,3,2,4,4
176,0.0,0.2424242424242424,0.0,3,4,0,0
177,0.0,0.404040404040404,0.0,6,4,8,2
178,1.0,0.404040404040404,0.0,3,4,4,0
179,1.0,0.404040404040404,0.0,5,2,4,4
180,1.0,0.5050505050505051,1.0,4,2,8,4
181,1.0,0.4545454545454545,0.0,3,4,6,2
182,1.0,0.404040404040404,0.0,1,2,4,2
183,0.0,0.404040404040404,0.0,3,0,3,3
184,0.0,0.5252525252525253,0.0,3,4,3,1
185,1.0,0.404040404040404,0.0,3,4,8,2
186,1.0,0.404040404040404,0.0,3,4,3,2
187,1.0,0.404040404040404,0.0,3,0,3,3
188,1.0,0.4545454545454545,0.0,1,2,3,2
189,1.0,0.5050505050505051,0.0,5,4,8,2
190,0.0,0.3838383838383838,1.0,3,2,4,2
191,0.0,0.404040404040404,0.0,3,6,4,3
192,1.0,0.404040404040404,1.0,6,2,8,3
193,0.0,0.404040404040404,0.0,3,4,4,2
194,1.0,0.1616161616161616,0.0,5,3,0,2
195,1.0,0.5050505050505051,0.0,3,2,3,2
196,0.0,0.5555555555555556,1.0,3,4,8,3
197,0.0,0.404040404040404,0.0,3,4,3,1
198,0.0,0.404040404040404,0.0,3,4,8,1
199,0.0,0.404040404040404,0.0,3,4,8,1
200,0.0,0.2525252525252525,0.0,3,4,3,0
201,1.0,0.303030303030303,0.0,3,2,3,5
202,1.0,0.5050505050505051,0.0,3,2,3,4
203,0.0,0.404040404040404,0.0,3,4,5,1
204,1.0,0.4343434343434343,0.0,3,2,6,1
205,1.0,0.404040404040404,0.0,0,4,8,2
206,1.0,0.404040404040404,0.0,3,4,8,2
207,1.0,0.6060606060606061,0.0,3,4,5,1
208,0.0,0.202020202020202,0.0,3,4,4,0
209,1.0,0.5050505050505051,0.0,1,4,8,3
210,1.0,0.4545454545454545,0.0,3,2,3,1
211,1.0,0.404040404040404,0.0,6,2,4,5
212,0.0,0.3636363636363636,1.0,3,2,8,2
213,1.0,0.3232323232323232,0.0,5,2,3,2
214,0.0,0.3535353535353535,0.0,3,4,2,1
215,1.0,0.6060606060606061,1.0,3,2,8,2
216,0.0,0.404040404040404,0.0,3,3,4,3
217,1.0,0.4545454545454545,1.0,3,2,8,3
218,0.0,0.1515151515151515,0.0,3,4,1,0
219,1.0,0.404040404040404,1.0,3,2,8,2
220,0.0,0.404040404040404,0.0,6,4,8,2
221,1.0,0.3535353535353535,0.0,5,6,7,6
222,1.0,0.404040404040404,0.0,3,4,8,1
223,0.0,0.404040404040404,0.0,1,4,5,4
224,0.0,0.404040404040404,1.0,3,2,3,3
225,1.0,0.7070707070707071,0.0,3,4,5,1
226,1.0,0.404040404040404,0.0,3,2,3,3
227,1.0,0.404040404040404,0.0,3,2,2,2
228,1.0,0.404040404040404,0.0,3,2,1,3
229,1.0,0.404040404040404,0.0,1,2,3,3
230,0.0,0.202020202020202,1.0,4,2,4,4
231,1.0,0.404040404040404,0.0,1,2,3,4
232,0.0,0.404040404040404,0.0,3,4,4,2
233,1.0,0.404040404040404,0.0,3,2,3,3
234,1.0,0.404040404040404,0.0,3,0,8,3
235,1.0,0.404040404040404,0.0,3,2,1,3
236,1.0,0.3838383838383838,0.0,3,2,3,1
237,0.0,0.2525252525252525,0.0,3,4,1,0
238,1.0,0.404040404040404,0.0,0,4,8,3
239,1.0,0.5050505050505051,0.0,3,4,8,1
240,1.0,0.404040404040404,0.0,3,2,1,1
241,1.0,0.404040404040404,1.0,3,2,8,3
242,0.0,0.404040404040404,0.0,3,4,4,1
243,1.0,0.3535353535353535,0.0,5,4,5,4
244,1.0,0.1212121212121212,0.0,6,4,8,1
245,0.0,0.404040404040404,0.0,3,4,1,3
246,1.0,0.3434343434343434,0.0,3,4,4,2
247,1.0,0.404040404040404,0.0,3,4,3,1
248,1.0,0.404040404040404,1.0,3,2,8,2
249,1.0,0.5050505050505051,0.0,3,2,1,1
250,0.0,0.3535353535353535,0.0,6,0,4,2
251,1.0,0.4545454545454545,1.0,3,2,8,3
252,1.0,1.0,0.0,5,2,3,2
253,1.0,0.404040404040404,1.0,3,2,8,2
254,0.0,0.2525252525252525,1.0,3,2,3,2
255,1.0,0.3838383838383838,0.0,3,4,1,2
256,0.0,0.404040404040404,0.0,3,0,3,4
257,0.0,0.0505050505050505,0.0,3,4,0,0
258,0.0,0.404040404040404,0.0,3,4,8,1
259,0.0,0.404040404040404,1.0,0,4,8,4
260,1.0,0.404040404040404,1.0,1,2,8,4
261,1.0,0.3535353535353535,0.0,3,4,4,1
262,0.0,0.4545454545454545,0.0,3,5,8,2
263,1.0,0.404040404040404,0.0,5,4,8,1
264,0.0,0.3232323232323232,0.0,3,0,6,3
265,1.0,0.4545454545454545,0.0,3,2,7,2
266,1.0,0.404040404040404,0.0,3,2,4,3
267,0.0,0.4646464646464646,1.0,6,2,8,3
268,1.0,0.3535353535353535,0.0,3,2,8,2
269,0.0,0.202020202020202,0.0,6,4,4,1
270,1.0,0.5050505050505051,1.0,5,2,8,3
271,0.0,0.3737373737373737,0.0,3,4,8,3
272,1.0,0.404040404040404,1.0,3,2,8,3
273,0.0,0.404040404040404,0.0,1,4,6,2
274,1.0,0.404040404040404,0.0,3,2,3,1
275,0.0,0.404040404040404,0.0,3,4,8,1
276,0.0,0.404040404040404,0.0,3,4,4,1
277,1.0,0.404040404040404,0.0,3,2,3,4
278,1.0,0.7070707070707071,0.0,3,2,0,3
279,1.0,0.8080808080808081,0.0,5,2,3,2
280,0.0,0.2424242424242424,0.0,3,4,4,1
281,1.0,0.4545454545454545,0.0,3,4,4,2
282,0.0,0.4545454545454545,1.0,3,2,8,1
283,1.0,0.5555555555555556,0.0,3,0,4,1
284,1.0,0.7272727272727273,1.0,4,2,8,3
285,1.0,0.404040404040404,0.0,3,4,5,1
286,1.0,0.4747474747474747,0.0,3,0,3,3
287,1.0,0.5050505050505051,1.0,3,2,8,3
288,1.0,0.2525252525252525,0.0,3,4,1,0
289,1.0,0.5050505050505051,0.0,5,6,8,4
290,1.0,0.404040404040404,0.0,3,2,6,1
291,1.0,0.404040404040404,0.0,5,2,4,5
292,1.0,0.404040404040404,0.0,3,2,2,2
293,1.0,0.404040404040404,1.0,3,2,8,4
294,0.0,0.404040404040404,0.0,0,4,0,2
295,0.0,0.303030303030303,0.0,3,6,3,4
296,0.0,0.404040404040404,0.0,3,4,3,1
297,0.0,0.404040404040404,0.0,1,4,8,3
298,1.0,0.404040404040404,0.0,5,2,4,5
299,0.0,0.5050505050505051,0.0,3,0,3,2
300,1.0,0.5050505050505051,1.0,4,2,4,4
301,0.0,0.202020202020202,1.0,3,2,3,3
302,1.0,0.404040404040404,0.0,3,2,3,1
303,1.0,0.303030303030303,0.0,3,4,3,1
304,0.0,0.3232323232323232,0.0,3,4,4,2
305,1.0,0.404040404040404,0.0,3,2,7,1
306,1.0,0.3535353535353535,1.0,5,2,8,3
307,1.0,0.5050505050505051,0.0,3,0,4,3
308,0.0,0.404040404040404,0.0,3,4,6,1
309,0.0,0.1515151515151515,0.0,3,4,4,1
310,1.0,0.5050505050505051,0.0,3,2,3,1
311,1.0,0.5555555555555556,0.0,3,2,4,1
312,1.0,0.3232323232323232,0.0,3,4,6,1
313,1.0,0.5555555555555556,0.0,3,4,3,3
314,0.0,0.4545454545454545,0.0,3,2,7,3
315,1.0,0.404040404040404,0.0,3,2,3,3
316,0.0,0.404040404040404,0.0,3,4,4,1
317,0.0,0.404040404040404,0.0,3,0,3,1
318,1.0,0.6060606060606061,1.0,4,2,8,4
319,1.0,0.4444444444444444,0.0,3,2,7,5
320,1.0,0.404040404040404,0.0,3,4,3,1
321,1.0,0.404040404040404,1.0,3,2,8,4
322,0.0,0.404040404040404,0.0,3,4,4,3
323,0.0,0.3535353535353535,0.0,3,4,8,1
324,1.0,0.0808080808080808,0.0,3,4,1,0
325,1.0,0.8585858585858586,0.0,3,2,7,2
326,0.0,0.6060606060606061,0.0,5,0,3,4
327,1.0,0.404040404040404,1.0,6,2,8,3
328,1.0,0.404040404040404,0.0,3,2,4,2
329,1.0,0.4444444444444444,1.0,3,2,4,4
330,0.0,0.404040404040404,0.0,3,5,4,1
331,0.0,0.404040404040404,0.0,3,2,4,1
332,0.0,0.2626262626262626,1.0,3,2,4,2
333,1.0,0.4545454545454545,1.0,3,2,4,4
334,1.0,0.3535353535353535,0.0,3,0,4,3
335,1.0,0.2424242424242424,0.0,3,0,4,2
336,1.0,0.404040404040404,0.0,3,2,4,1
337,1.0,0.5252525252525253,0.0,3,2,4,2
338,0.0,1.0,0.0,5,4,7,6
339,1.0,0.5050505050505051,0.0,3,0,3,4
340,0.0,0.404040404040404,0.0,6,4,4,1
341,1.0,0.3232323232323232,0.0,3,2,5,3
342,1.0,0.4545454545454545,0.0,3,2,3,3
343,1.0,0.6060606060606061,0.0,3,2,6,2
344,1.0,0.4747474747474747,1.0,1,2,8,3
345,1.0,0.303030303030303,0.0,3,2,3,5
346,1.0,0.6060606060606061,0.0,5,4,3,1
347,1.0,0.3838383838383838,1.0,1,2,8,3
348,1.0,0.404040404040404,1.0,3,2,4,4
349,1.0,0.303030303030303,0.0,3,4,7,2
350,1.0,0.404040404040404,0.0,5,2,3,3
351,1.0,0.3535353535353535,1.0,1,2,8,3
352,0.0,0.3636363636363636,0.0,3,0,4,4
353,1.0,0.5252525252525253,1.0,3,2,8,4
354,1.0,0.404040404040404,0.0,5,2,3,1
355,1.0,0.404040404040404,0.0,3,2,3,6
356,0.0,0.303030303030303,0.0,3,4,3,1
357,1.0,0.404040404040404,0.0,3,2,8,1
358,1.0,0.404040404040404,0.0,5,3,8,3
359,1.0,0.404040404040404,0.0,3,2,3,2
360,1.0,0.404040404040404,0.0,3,2,5,3
361,1.0,0.5252525252525253,0.0,4,2,7,3
362,1.0,0.404040404040404,0.0,3,5,4,2
363,1.0,0.404040404040404,0.0,6,2,3,3
364,0.0,0.2525252525252525,0.0,3,5,3,2
365,1.0,0.202020202020202,0.0,3,4,8,1
366,1.0,0.7272727272727273,0.0,5,2,3,2
367,1.0,0.404040404040404,0.0,3,4,3,2
368,0.0,0.404040404040404,0.0,3,4,4,1
369,0.0,0.404040404040404,1.0,3,2,3,4
370,0.0,0.404040404040404,0.0,3,4,3,1
371,1.0,0.404040404040404,0.0,3,4,5,1
372,1.0,0.404040404040404,0.0,3,0,3,3
373,1.0,0.1616161616161616,0.0,3,2,3,4
374,1.0,0.404040404040404,0.0,3,2,3,3
375,1.0,0.404040404040404,0.0,3,0,3,2
376,0.0,0.4242424242424242,0.0,3,5,1,2
377,1.0,0.5050505050505051,0.0,3,2,1,2
378,1.0,0.101010101010101,0.0,3,2,3,5
379,1.0,0.303030303030303,0.0,5,2,7,1
380,0.0,0.5050505050505051,1.0,3,5,8,2
381,0.0,0.404040404040404,0.0,3,4,4,2
382,1.0,0.5050505050505051,0.0,3,2,3,4
383,1.0,0.5050505050505051,0.0,3,2,3,2
384,1.0,0.404040404040404,0.0,3,0,3,2
385,1.0,0.404040404040404,1.0,3,2,8,3
386,1.0,0.5050505050505051,0.0,3,2,4,2
387,1.0,0.404040404040404,0.0,3,4,3,2
388,1.0,0.404040404040404,0.0,3,4,4,1
389,1.0,0.404040404040404,0.0,3,2,6,3
390,1.0,0.5050505050505051,0.0,3,2,4,1
391,0.0,0.3535353535353535,0.0,3,6,8,3
392,0.0,0.3535353535353535,0.0,1,4,8,1
393,1.0,0.5050505050505051,0.0,3,2,4,2
394,1.0,0.4545454545454545,0.0,5,2,3,2
395,1.0,0.4545454545454545,1.0,4,2,8,3
396,0.0,0.404040404040404,1.0,1,2,8,4
397,1.0,0.3838383838383838,0.0,5,2,3,3
398,1.0,0.404040404040404,0.0,3,4,3,1
399,0.0,0.2525252525252525,0.0,1,4,8,1
400,0.0,0.404040404040404,1.0,3,2,5,1
401,0.0,0.404040404040404,0.0,3,6,3,5
402,1.0,0.5050505050505051,1.0,3,2,8,4
403,1.0,0.404040404040404,0.0,3,2,3,1
404,1.0,0.404040404040404,0.0,0,2,3,4
405,1.0,0.7575757575757576,1.0,3,2,8,2
406,1.0,0.404040404040404,0.0,3,4,5,1
407,0.0,0.3636363636363636,0.0,3,4,5,3
408,0.0,0.303030303030303,0.0,3,0,3,3
409,1.0,0.404040404040404,0.0,3,6,3,4
410,0.0,0.303030303030303,0.0,3,6,3,4
411,1.0,0.4545454545454545,1.0,0,2,8,4
412,1.0,0.6060606060606061,0.0,3,0,3,2
413,0.0,0.303030303030303,0.0,3,4,4,1
414,1.0,0.404040404040404,0.0,1,2,7,4
415,1.0,0.404040404040404,1.0,4,2,8,3
416,1.0,0.404040404040404,0.0,3,2,3,4
417,1.0,0.4848484848484848,0.0,1,2,5,2
418,1.0,0.404040404040404,0.0,1,0,5,2
419,0.0,0.404040404040404,1.0,3,2,3,3
420,1.0,0.404040404040404,0.0,1,2,8,1
421,1.0,0.3737373737373737,0.0,3,4,8,3
422,1.0,0.5050505050505051,1.0,3,2,8,5
423,0.0,0.404040404040404,1.0,3,2,3,3
424,1.0,0.404040404040404,0.0,3,0,5,1
425,0.0,0.303030303030303,1.0,3,2,3,3
426,1.0,0.5555555555555556,0.0,3,4,6,1
427,0.0,0.404040404040404,0.0,3,4,3,2
428,1.0,0.494949494949495,0.0,3,4,7,3
429,1.0,0.5050505050505051,0.0,5,2,4,4
430,1.0,0.6060606060606061,0.0,3,2,3,2
431,1.0,0.5050505050505051,0.0,3,2,4,2
432,0.0,0.202020202020202,0.0,3,6,7,5
433,0.0,0.5050505050505051,1.0,3,2,5,2
434,1.0,0.3232323232323232,0.0,3,4,6,2
435,0.0,0.404040404040404,0.0,3,0,4,2
436,1.0,0.2525252525252525,0.0,3,4,0,0
437,1.0,0.4848484848484848,0.0,3,2,1,4
438,1.0,0.404040404040404,0.0,3,4,7,1
439,0.0,0.3838383838383838,0.0,0,0,4,3
440,1.0,0.7070707070707071,0.0,1,4,5,2
441,1.0,0.404040404040404,0.0,3,4,8,2
442,1.0,0.5252525252525253,0.0,5,2,3,4
443,1.0,0.9090909090909092,1.0,3,2,8,2
444,0.0,0.404040404040404,0.0,3,0,3,4
445,1.0,0.6060606060606061,1.0,5,2,8,2
446,1.0,0.8080808080808081,1.0,0,2,3,4
447,1.0,0.5050505050505051,0.0,5,2,3,3
448,0.0,0.4545454545454545,0.0,6,0,3,3
449,1.0,0.404040404040404,0.0,3,4,4,2
450,0.0,0.404040404040404,0.0,3,4,3,0
451,1.0,0.404040404040404,1.0,3,2,8,2
452,1.0,0.4545454545454545,0.0,3,2,3,5
453,1.0,0.3636363636363636,0.0,3,2,7,6
454,1.0,0.404040404040404,0.0,3,4,4,4
455,1.0,0.6060606060606061,0.0,3,0,3,2
456,1.0,0.101010101010101,0.0,5,2,4,5
457,1.0,0.404040404040404,0.0,3,2,8,1
458,0.0,0.4545454545454545,0.0,3,4,6,3
459,1.0,0.6262626262626263,0.0,5,0,3,2
460,0.0,0.404040404040404,0.0,3,4,8,2
461,0.0,0.2525252525252525,0.0,3,4,4,0
462,1.0,0.7575757575757576,1.0,1,2,8,3
463,1.0,0.6565656565656566,1.0,5,2,8,2
464,1.0,0.3838383838383838,0.0,6,2,5,3
465,1.0,0.404040404040404,0.0,6,4,4,1
466,1.0,0.404040404040404,0.0,0,2,3,4
467,1.0,0.2222222222222222,0.0,3,2,0,5
468,1.0,0.303030303030303,0.0,3,4,8,2
469,1.0,0.404040404040404,0.0,3,2,4,3
470,1.0,0.404040404040404,0.0,1,2,3,4
471,0.0,0.404040404040404,0.0,1,4,8,1
472,1.0,0.404040404040404,0.0,3,4,0,1
473,1.0,0.404040404040404,1.0,4,2,8,5
474,0.0,0.5050505050505051,1.0,3,2,6,3
475,0.0,0.404040404040404,0.0,1,6,8,4
476,0.0,0.1616161616161616,0.0,3,4,1,0
477,0.0,0.303030303030303,0.0,3,5,4,1
478,1.0,0.5050505050505051,0.0,3,2,7,4
479,1.0,0.5050505050505051,0.0,3,2,4,1
480,0.0,0.3232323232323232,0.0,3,2,1,2
481,1.0,0.404040404040404,0.0,1,2,3,4
482,1.0,0.6060606060606061,0.0,3,0,3,4
483,0.0,0.404040404040404,0.0,3,4,3,1
484,0.0,0.404040404040404,0.0,3,0,0,2
485,1.0,0.404040404040404,0.0,0,2,3,4
486,0.0,0.101010101010101,0.0,3,1,3,2
487,1.0,0.5050505050505051,0.0,3,2,3,2
488,0.0,0.1717171717171717,1.0,3,2,4,3
489,1.0,0.4242424242424242,1.0,3,2,8,2
490,1.0,0.3636363636363636,0.0,3,4,8,1
491,0.0,0.404040404040404,0.0,3,0,4,4
492,0.0,0.202020202020202,0.0,3,4,4,1
493,0.0,0.404040404040404,0.0,3,0,7,3
494,0.0,0.404040404040404,0.0,1,6,8,4
495,0.0,0.3232323232323232,0.0,5,0,4,4
496,1.0,0.404040404040404,0.0,4,2,3,3
497,1.0,0.404040404040404,0.0,5,2,8,2
498,1.0,0.5050505050505051,1.0,3,2,8,2
499,0.0,0.303030303030303,0.0,3,0,3,4
500,0.0,0.404040404040404,0.0,3,4,3,1
501,1.0,0.0808080808080808,0.0,3,2,4,3
502,1.0,0.404040404040404,0.0,3,2,4,3
503,0.0,0.404040404040404,0.0,3,0,4,2
504,1.0,0.404040404040404,0.0,3,4,4,2
505,0.0,0.404040404040404,0.0,3,4,4,1
506,1.0,0.3838383838383838,0.0,6,4,8,2
507,1.0,0.303030303030303,0.0,3,4,4,0
508,1.0,0.404040404040404,0.0,4,4,8,2
509,0.0,0.3939393939393939,0.0,3,5,8,2
510,0.0,0.303030303030303,0.0,3,4,4,0
511,1.0,0.4848484848484848,0.0,1,2,8,2
512,0.0,0.4242424242424242,0.0,3,4,5,1
513,1.0,0.6060606060606061,0.0,3,4,4,2
514,0.0,0.202020202020202,0.0,1,4,4,1
515,1.0,0.404040404040404,1.0,3,2,8,4
516,0.0,0.404040404040404,0.0,3,4,8,1
517,0.0,0.404040404040404,0.0,3,0,4,4
518,0.0,0.404040404040404,0.0,3,6,3,4
519,0.0,0.3838383838383838,0.0,3,0,4,2
520,1.0,0.404040404040404,0.0,3,3,8,2
521,0.0,0.2424242424242424,0.0,3,0,4,3
522,0.0,0.404040404040404,0.0,3,0,7,4
523,1.0,0.404040404040404,0.0,1,2,4,2
524,1.0,0.5050505050505051,0.0,5,2,3,4
525,1.0,0.404040404040404,1.0,3,2,8,3
526,1.0,0.404040404040404,0.0,5,0,0,2
527,1.0,0.404040404040404,0.0,3,4,6,1
