,AGEP,COW,SCHL,MAR,WKHP,SEX,INCOME
101329,69.0,1.0,22.0,1.0,40.0,Female,0.0
65409,36.0,1.0,21.0,1.0,40.0,Female,0.0
82249,33.0,1.0,21.0,1.0,40.0,Female,0.0
11693,21.0,1.0,19.0,5.0,20.0,Female,0.0
89309,42.0,1.0,22.0,5.0,25.0,Female,0.0
32822,54.0,3.0,16.0,1.0,35.0,Female,0.0
2436,20.0,1.0,19.0,5.0,13.0,Female,0.0
53454,25.0,1.0,21.0,1.0,25.0,Female,0.0
59515,64.0,1.0,20.0,1.0,40.0,Female,0.0
79170,78.0,2.0,24.0,5.0,5.0,Female,0.0
37489,25.0,1.0,21.0,5.0,40.0,Female,0.0
54154,30.0,1.0,17.0,5.0,40.0,Female,0.0
61675,31.0,2.0,21.0,1.0,15.0,Female,0.0
94874,45.0,1.0,16.0,1.0,28.0,Female,0.0
63032,30.0,2.0,20.0,5.0,40.0,Female,0.0
77517,25.0,1.0,19.0,3.0,35.0,Female,0.0
68298,32.0,1.0,20.0,1.0,30.0,Female,0.0
20304,27.0,4.0,18.0,5.0,20.0,Female,0.0
73270,51.0,1.0,16.0,1.0,36.0,Female,0.0
18999,48.0,1.0,19.0,4.0,40.0,Female,0.0
57091,58.0,1.0,18.0,1.0,25.0,Female,0.0
12017,47.0,1.0,18.0,1.0,48.0,Female,0.0
37148,58.0,6.0,17.0,5.0,30.0,Female,0.0
20425,29.0,6.0,20.0,1.0,40.0,Female,0.0
14348,32.0,1.0,17.0,1.0,24.0,Female,0.0
67113,19.0,3.0,17.0,5.0,6.0,Female,0.0
74580,68.0,1.0,19.0,1.0,30.0,Female,0.0
29136,41.0,1.0,21.0,1.0,40.0,Female,0.0
32711,24.0,1.0,13.0,3.0,40.0,Female,0.0
10962,33.0,2.0,22.0,5.0,40.0,Female,0.0
46526,22.0,1.0,19.0,5.0,40.0,Female,0.0
96758,26.0,1.0,20.0,5.0,60.0,Female,0.0
66018,61.0,1.0,21.0,1.0,20.0,Female,0.0
50916,57.0,2.0,16.0,1.0,40.0,Female,0.0
42004,62.0,3.0,19.0,1.0,35.0,Female,0.0
32930,56.0,2.0,19.0,1.0,35.0,Female,0.0
19648,26.0,4.0,22.0,5.0,40.0,Female,0.0
15943,49.0,1.0,22.0,4.0,35.0,Female,0.0
16094,34.0,7.0,19.0,5.0,5.0,Female,0.0
63142,62.0,1.0,15.0,1.0,40.0,Female,0.0
27021,28.0,1.0,19.0,4.0,40.0,Female,0.0
44318,55.0,7.0,18.0,1.0,30.0,Female,0.0
50559,38.0,2.0,19.0,1.0,37.0,Female,0.0
61009,39.0,3.0,21.0,1.0,35.0,Female,0.0
77926,45.0,1.0,20.0,3.0,37.0,Female,0.0
90963,24.0,2.0,21.0,5.0,35.0,Female,0.0
73453,60.0,1.0,18.0,1.0,40.0,Female,0.0
95133,53.0,1.0,22.0,5.0,40.0,Female,0.0
33319,49.0,2.0,1.0,5.0,40.0,Female,0.0
100643,34.0,4.0,21.0,3.0,40.0,Female,0.0
5482,37.0,1.0,20.0,1.0,40.0,Female,0.0
59797,39.0,1.0,16.0,1.0,50.0,Female,0.0
21533,69.0,1.0,21.0,1.0,25.0,Female,0.0
68965,48.0,1.0,12.0,1.0,35.0,Female,0.0
27207,42.0,1.0,20.0,1.0,60.0,Female,0.0
99308,40.0,1.0,18.0,5.0,38.0,Female,0.0
38226,54.0,1.0,16.0,4.0,40.0,Female,0.0
92556,65.0,1.0,21.0,1.0,18.0,Female,0.0
64721,58.0,1.0,19.0,2.0,10.0,Female,0.0
28649,18.0,1.0,16.0,5.0,10.0,Female,0.0
46673,51.0,1.0,21.0,3.0,16.0,Female,0.0
89786,41.0,6.0,18.0,3.0,5.0,Female,0.0
68304,69.0,3.0,20.0,1.0,10.0,Female,0.0
3919,56.0,7.0,19.0,3.0,4.0,Female,0.0
24386,53.0,3.0,19.0,5.0,35.0,Female,0.0
57744,55.0,1.0,20.0,1.0,3.0,Female,0.0
36573,66.0,1.0,16.0,1.0,16.0,Female,0.0
81250,56.0,1.0,16.0,1.0,40.0,Female,0.0
11478,21.0,1.0,20.0,5.0,16.0,Female,0.0
6615,52.0,6.0,13.0,1.0,28.0,Female,0.0
78500,38.0,1.0,19.0,4.0,40.0,Female,0.0
70282,52.0,1.0,9.0,4.0,40.0,Female,0.0
38354,20.0,1.0,16.0,5.0,25.0,Female,0.0
11841,32.0,1.0,16.0,1.0,40.0,Female,0.0
31021,48.0,2.0,21.0,1.0,23.0,Female,0.0
11294,29.0,1.0,17.0,5.0,20.0,Female,0.0
98142,66.0,1.0,16.0,1.0,30.0,Female,0.0
80823,45.0,1.0,20.0,1.0,40.0,Female,0.0
66770,56.0,5.0,22.0,3.0,40.0,Female,0.0
101479,31.0,1.0,3.0,1.0,10.0,Female,0.0
57352,23.0,2.0,16.0,5.0,40.0,Female,0.0
37353,33.0,1.0,16.0,1.0,45.0,Female,0.0
21649,66.0,3.0,21.0,1.0,40.0,Female,0.0
61013,35.0,1.0,21.0,1.0,36.0,Female,0.0
95225,61.0,4.0,16.0,1.0,40.0,Female,0.0
75508,52.0,4.0,22.0,3.0,42.0,Female,0.0
87374,56.0,1.0,20.0,1.0,40.0,Female,0.0
36723,60.0,1.0,16.0,1.0,20.0,Female,0.0
102193,52.0,4.0,19.0,3.0,40.0,Female,0.0
48138,18.0,1.0,19.0,5.0,12.0,Female,0.0
67941,57.0,1.0,21.0,1.0,40.0,Female,0.0
30784,65.0,3.0,16.0,5.0,32.0,Female,0.0
63241,50.0,1.0,20.0,1.0,36.0,Female,0.0
54868,59.0,1.0,16.0,2.0,40.0,Female,0.0
79918,27.0,1.0,11.0,1.0,30.0,Female,0.0
95813,57.0,1.0,16.0,1.0,22.0,Female,0.0
79119,20.0,1.0,20.0,5.0,60.0,Female,0.0
87035,45.0,4.0,22.0,1.0,40.0,Female,0.0
56389,57.0,1.0,19.0,1.0,35.0,Female,0.0
58309,59.0,1.0,21.0,1.0,25.0,Female,0.0
37016,78.0,2.0,16.0,2.0,35.0,Female,0.0
34175,22.0,1.0,21.0,5.0,35.0,Female,0.0
35449,60.0,2.0,18.0,1.0,15.0,Female,0.0
31490,28.0,1.0,21.0,5.0,40.0,Female,0.0
25978,39.0,1.0,16.0,1.0,35.0,Female,0.0
25754,53.0,1.0,16.0,1.0,35.0,Female,0.0
92530,61.0,6.0,16.0,3.0,40.0,Female,0.0
12186,22.0,1.0,16.0,1.0,35.0,Female,0.0
97062,51.0,1.0,21.0,1.0,40.0,Female,0.0
40516,62.0,1.0,12.0,5.0,40.0,Female,0.0
21491,59.0,3.0,20.0,1.0,40.0,Female,0.0
2627,21.0,1.0,19.0,5.0,20.0,Female,0.0
79091,24.0,2.0,21.0,5.0,48.0,Female,0.0
89986,32.0,1.0,22.0,1.0,40.0,Female,0.0
25640,24.0,6.0,21.0,5.0,15.0,Female,0.0
80349,29.0,1.0,21.0,5.0,40.0,Female,0.0
58108,34.0,1.0,22.0,1.0,40.0,Female,0.0
74866,65.0,1.0,20.0,1.0,40.0,Female,0.0
32539,44.0,6.0,16.0,5.0,40.0,Female,0.0
101712,63.0,1.0,13.0,4.0,40.0,Female,0.0
91280,30.0,1.0,21.0,5.0,40.0,Female,0.0
23224,63.0,1.0,20.0,1.0,35.0,Female,0.0
86184,49.0,3.0,20.0,1.0,40.0,Female,0.0
14699,34.0,1.0,18.0,5.0,35.0,Female,0.0
13967,55.0,3.0,21.0,5.0,40.0,Female,0.0
47,25.0,1.0,14.0,5.0,25.0,Female,0.0
94400,21.0,1.0,19.0,1.0,35.0,Female,0.0
19543,51.0,1.0,21.0,4.0,35.0,Female,0.0
60706,33.0,1.0,19.0,1.0,40.0,Female,0.0
28941,24.0,1.0,22.0,5.0,30.0,Female,0.0
6222,38.0,1.0,18.0,1.0,25.0,Female,0.0
14567,55.0,1.0,19.0,1.0,32.0,Female,0.0
9888,51.0,3.0,21.0,1.0,20.0,Female,0.0
24411,64.0,1.0,21.0,1.0,30.0,Female,0.0
9567,57.0,1.0,19.0,1.0,40.0,Female,0.0
91960,40.0,1.0,21.0,5.0,30.0,Female,0.0
94020,71.0,7.0,23.0,1.0,14.0,Female,0.0
37352,23.0,1.0,19.0,5.0,50.0,Female,0.0
69588,43.0,1.0,16.0,3.0,16.0,Female,0.0
86745,24.0,1.0,22.0,5.0,20.0,Female,0.0
42050,28.0,1.0,19.0,5.0,40.0,Female,0.0
9158,24.0,4.0,21.0,5.0,40.0,Female,0.0
86788,42.0,6.0,22.0,3.0,40.0,Female,0.0
101938,40.0,1.0,16.0,1.0,25.0,Female,0.0
100598,55.0,1.0,16.0,1.0,25.0,Female,0.0
90049,57.0,1.0,16.0,2.0,40.0,Female,0.0
22385,61.0,1.0,19.0,1.0,30.0,Female,0.0
70836,35.0,1.0,16.0,1.0,46.0,Female,0.0
60340,34.0,5.0,19.0,5.0,40.0,Female,0.0
56478,53.0,1.0,21.0,1.0,40.0,Female,0.0
60147,86.0,1.0,20.0,4.0,36.0,Female,0.0
27060,62.0,1.0,16.0,1.0,35.0,Female,0.0
44996,49.0,3.0,21.0,1.0,20.0,Female,0.0
60381,20.0,1.0,19.0,5.0,25.0,Female,0.0
18164,57.0,1.0,16.0,4.0,45.0,Female,0.0
39747,21.0,1.0,19.0,5.0,25.0,Female,0.0
73079,65.0,1.0,21.0,1.0,20.0,Female,0.0
11751,19.0,1.0,16.0,5.0,8.0,Female,0.0
34010,28.0,3.0,16.0,5.0,40.0,Female,0.0
5753,17.0,1.0,15.0,5.0,35.0,Female,0.0
30985,25.0,1.0,12.0,5.0,25.0,Female,0.0
99066,21.0,1.0,18.0,5.0,40.0,Female,0.0
62693,20.0,1.0,18.0,1.0,30.0,Female,0.0
37174,27.0,2.0,21.0,5.0,40.0,Female,0.0
61341,26.0,1.0,16.0,1.0,35.0,Female,0.0
24626,44.0,1.0,16.0,3.0,40.0,Female,0.0
43845,71.0,1.0,16.0,2.0,25.0,Female,0.0
27830,50.0,2.0,16.0,5.0,40.0,Female,0.0
85607,40.0,1.0,19.0,1.0,35.0,Female,0.0
60993,26.0,1.0,20.0,5.0,40.0,Female,0.0
72169,56.0,1.0,15.0,1.0,50.0,Female,0.0
17788,34.0,1.0,8.0,1.0,4.0,Female,0.0
89764,27.0,1.0,21.0,1.0,40.0,Female,0.0
300,19.0,1.0,18.0,5.0,27.0,Female,0.0
2469,20.0,1.0,19.0,5.0,6.0,Female,0.0
32599,59.0,1.0,21.0,1.0,26.0,Female,0.0
20280,64.0,1.0,16.0,1.0,40.0,Female,0.0
71604,47.0,1.0,22.0,1.0,40.0,Female,0.0
99311,27.0,1.0,16.0,5.0,35.0,Female,0.0
80139,28.0,4.0,22.0,5.0,50.0,Female,0.0
73733,33.0,1.0,18.0,1.0,40.0,Female,0.0
80888,22.0,1.0,19.0,1.0,20.0,Female,0.0
36352,20.0,1.0,16.0,5.0,20.0,Female,0.0
30813,57.0,4.0,20.0,1.0,40.0,Female,0.0
101897,27.0,1.0,16.0,3.0,30.0,Female,0.0
51885,31.0,1.0,22.0,1.0,40.0,Female,0.0
1899,39.0,1.0,13.0,1.0,35.0,Female,0.0
2220,18.0,1.0,16.0,5.0,20.0,Female,0.0
35318,61.0,6.0,22.0,1.0,15.0,Female,0.0
78128,22.0,1.0,21.0,5.0,20.0,Female,0.0
74297,50.0,1.0,21.0,1.0,19.0,Female,0.0
19608,22.0,1.0,21.0,5.0,20.0,Female,0.0
42722,62.0,1.0,20.0,4.0,20.0,Female,0.0
81584,40.0,1.0,21.0,1.0,32.0,Female,0.0
91567,54.0,1.0,16.0,1.0,35.0,Female,0.0
88401,18.0,1.0,19.0,5.0,23.0,Female,0.0
12124,65.0,2.0,19.0,3.0,37.0,Female,0.0
80688,28.0,1.0,20.0,5.0,40.0,Female,0.0
89201,59.0,2.0,17.0,1.0,40.0,Female,0.0
65369,53.0,4.0,20.0,1.0,27.0,Female,0.0
2239,18.0,2.0,16.0,5.0,11.0,Female,0.0
87096,61.0,1.0,18.0,5.0,40.0,Female,0.0
97724,53.0,2.0,22.0,5.0,35.0,Female,0.0
29122,31.0,2.0,21.0,5.0,35.0,Female,0.0
83204,44.0,2.0,21.0,1.0,40.0,Female,0.0
96020,62.0,1.0,16.0,5.0,35.0,Female,0.0
55851,28.0,6.0,14.0,5.0,60.0,Female,0.0
43943,52.0,1.0,16.0,1.0,35.0,Female,0.0
62048,54.0,6.0,16.0,1.0,25.0,Female,0.0
77096,43.0,1.0,19.0,5.0,40.0,Female,0.0
73358,51.0,1.0,23.0,1.0,50.0,Female,0.0
39876,28.0,1.0,16.0,1.0,40.0,Female,0.0
36150,62.0,1.0,8.0,1.0,12.0,Female,0.0
5484,58.0,4.0,19.0,1.0,40.0,Female,0.0
79653,35.0,1.0,11.0,1.0,80.0,Female,0.0
22394,66.0,6.0,22.0,1.0,20.0,Female,0.0
77320,26.0,6.0,16.0,1.0,5.0,Female,0.0
10092,32.0,1.0,16.0,5.0,24.0,Female,0.0
44058,40.0,1.0,16.0,1.0,36.0,Female,0.0
77204,24.0,1.0,21.0,5.0,40.0,Female,0.0
34907,25.0,1.0,20.0,1.0,37.0,Female,0.0
18844,49.0,6.0,21.0,3.0,45.0,Female,0.0
42951,21.0,1.0,16.0,5.0,6.0,Female,0.0
97782,23.0,1.0,19.0,5.0,40.0,Female,0.0
15099,28.0,1.0,17.0,5.0,4.0,Female,0.0
28608,67.0,3.0,21.0,5.0,35.0,Female,0.0
52637,19.0,6.0,16.0,5.0,16.0,Female,0.0
100201,81.0,2.0,15.0,2.0,35.0,Female,0.0
83813,57.0,3.0,22.0,1.0,40.0,Female,0.0
32621,28.0,1.0,2.0,1.0,40.0,Female,0.0
7454,22.0,1.0,18.0,1.0,50.0,Female,0.0
5087,36.0,1.0,16.0,5.0,40.0,Female,0.0
66450,53.0,1.0,17.0,1.0,31.0,Female,0.0
260,19.0,3.0,19.0,5.0,13.0,Female,0.0
60924,51.0,6.0,20.0,4.0,48.0,Female,0.0
3628,19.0,4.0,19.0,5.0,17.0,Female,0.0
102764,60.0,1.0,19.0,2.0,40.0,Female,0.0
67175,65.0,1.0,16.0,1.0,40.0,Female,0.0
83057,21.0,2.0,20.0,5.0,30.0,Female,0.0
74943,47.0,1.0,15.0,1.0,50.0,Female,0.0
32381,57.0,1.0,16.0,3.0,27.0,Female,0.0
99927,46.0,1.0,16.0,3.0,36.0,Female,0.0
46378,67.0,3.0,19.0,1.0,10.0,Female,0.0
74000,27.0,1.0,21.0,5.0,40.0,Female,0.0
56901,22.0,1.0,21.0,5.0,45.0,Female,0.0
9450,77.0,6.0,19.0,1.0,30.0,Female,0.0
50513,61.0,1.0,16.0,1.0,18.0,Female,0.0
16266,48.0,1.0,16.0,1.0,20.0,Female,0.0
29977,73.0,1.0,20.0,1.0,24.0,Female,0.0
22187,39.0,6.0,21.0,1.0,40.0,Female,0.0
75592,57.0,2.0,16.0,1.0,40.0,Female,0.0
18447,47.0,1.0,21.0,1.0,15.0,Female,0.0
65474,38.0,1.0,23.0,5.0,40.0,Female,0.0
39216,42.0,1.0,19.0,5.0,30.0,Female,0.0
33389,40.0,7.0,22.0,1.0,35.0,Female,0.0
41501,55.0,3.0,21.0,1.0,40.0,Female,0.0
62226,37.0,1.0,20.0,3.0,40.0,Female,0.0
85753,17.0,3.0,13.0,5.0,32.0,Female,0.0
63391,27.0,3.0,21.0,5.0,40.0,Female,0.0
91109,40.0,1.0,20.0,1.0,40.0,Female,0.0
25868,28.0,1.0,22.0,1.0,40.0,Female,0.0
17236,60.0,3.0,16.0,1.0,28.0,Female,0.0
94444,45.0,6.0,22.0,1.0,4.0,Female,0.0
29558,35.0,3.0,22.0,5.0,35.0,Female,0.0
52964,42.0,1.0,17.0,4.0,40.0,Female,0.0
21719,61.0,6.0,16.0,1.0,30.0,Female,0.0
2166,61.0,8.0,21.0,1.0,40.0,Female,0.0
125,18.0,1.0,19.0,5.0,27.0,Female,0.0
65854,59.0,1.0,19.0,1.0,15.0,Female,0.0
41152,27.0,1.0,21.0,1.0,40.0,Female,0.0
32630,64.0,1.0,16.0,1.0,12.0,Female,0.0
19912,28.0,2.0,21.0,5.0,40.0,Female,0.0
56497,68.0,7.0,19.0,2.0,25.0,Female,0.0
42888,50.0,1.0,19.0,5.0,38.0,Female,0.0
75223,49.0,1.0,21.0,1.0,28.0,Female,0.0
61815,25.0,1.0,21.0,4.0,30.0,Female,0.0
12620,53.0,1.0,19.0,1.0,35.0,Female,0.0
6380,48.0,1.0,17.0,1.0,25.0,Female,0.0
31053,60.0,1.0,12.0,4.0,32.0,Female,0.0
65950,33.0,1.0,22.0,1.0,40.0,Female,0.0
30520,57.0,3.0,19.0,5.0,40.0,Female,0.0
42095,57.0,4.0,13.0,2.0,40.0,Female,0.0
38545,49.0,1.0,19.0,4.0,40.0,Female,0.0
67843,48.0,1.0,22.0,5.0,20.0,Female,0.0
95235,64.0,2.0,21.0,3.0,15.0,Female,0.0
2554,19.0,1.0,16.0,5.0,40.0,Female,0.0
87754,17.0,1.0,14.0,5.0,40.0,Female,0.0
13250,48.0,5.0,20.0,5.0,48.0,Female,0.0
33043,35.0,2.0,19.0,5.0,30.0,Female,0.0
38907,59.0,1.0,16.0,3.0,40.0,Female,0.0
95934,28.0,1.0,22.0,1.0,35.0,Female,0.0
10709,52.0,6.0,21.0,1.0,20.0,Female,0.0
19801,52.0,6.0,22.0,1.0,15.0,Female,0.0
61172,18.0,3.0,16.0,5.0,20.0,Female,0.0
60358,50.0,1.0,21.0,1.0,40.0,Female,0.0
32410,56.0,1.0,18.0,1.0,22.0,Female,0.0
22482,27.0,1.0,16.0,5.0,40.0,Female,0.0
96287,53.0,6.0,22.0,1.0,15.0,Female,0.0
68972,64.0,1.0,20.0,1.0,4.0,Female,0.0
30128,35.0,3.0,21.0,1.0,40.0,Female,0.0
90331,36.0,1.0,22.0,1.0,22.0,Female,0.0
1643,19.0,3.0,16.0,5.0,26.0,Female,0.0
47945,37.0,1.0,15.0,1.0,29.0,Female,0.0
101642,25.0,1.0,12.0,1.0,26.0,Female,0.0
58465,21.0,1.0,21.0,5.0,30.0,Female,0.0
34457,67.0,2.0,21.0,1.0,15.0,Female,0.0
96670,31.0,1.0,16.0,3.0,40.0,Female,0.0
63578,22.0,1.0,20.0,5.0,40.0,Female,0.0
52623,67.0,1.0,21.0,1.0,50.0,Female,0.0
41425,28.0,2.0,22.0,5.0,35.0,Female,0.0
87985,45.0,1.0,20.0,1.0,57.0,Female,0.0
12456,32.0,1.0,21.0,1.0,50.0,Female,0.0
96176,54.0,3.0,19.0,5.0,40.0,Female,0.0
90854,63.0,4.0,20.0,1.0,10.0,Female,0.0
68522,23.0,3.0,19.0,5.0,25.0,Female,0.0
7352,42.0,3.0,20.0,1.0,35.0,Female,0.0
75413,36.0,2.0,22.0,5.0,40.0,Female,0.0
894,21.0,1.0,18.0,5.0,17.0,Female,0.0
21440,20.0,1.0,19.0,5.0,15.0,Female,0.0
97387,20.0,2.0,19.0,5.0,32.0,Female,0.0
45581,41.0,6.0,21.0,1.0,1.0,Female,0.0
29601,29.0,1.0,21.0,5.0,15.0,Female,0.0
34345,25.0,1.0,21.0,5.0,7.0,Female,0.0
13853,36.0,2.0,19.0,1.0,40.0,Female,0.0
55342,23.0,1.0,19.0,5.0,30.0,Female,0.0
56437,55.0,1.0,16.0,3.0,40.0,Female,0.0
16998,38.0,6.0,16.0,1.0,40.0,Female,0.0
57571,47.0,1.0,15.0,1.0,35.0,Female,0.0
87081,61.0,1.0,16.0,1.0,27.0,Female,0.0
43730,24.0,6.0,21.0,5.0,10.0,Female,0.0
9752,30.0,1.0,19.0,5.0,35.0,Female,0.0
64659,25.0,1.0,21.0,5.0,40.0,Female,0.0
36135,22.0,1.0,21.0,5.0,40.0,Female,0.0
78385,62.0,1.0,16.0,5.0,25.0,Female,0.0
101816,29.0,1.0,20.0,5.0,40.0,Female,0.0
77431,53.0,6.0,16.0,1.0,4.0,Female,0.0
72007,58.0,3.0,22.0,1.0,40.0,Female,0.0
15550,29.0,1.0,19.0,3.0,45.0,Female,0.0
46676,55.0,1.0,20.0,1.0,40.0,Female,0.0
92165,50.0,1.0,22.0,1.0,25.0,Female,0.0
101936,20.0,1.0,19.0,5.0,22.0,Female,0.0
12737,17.0,1.0,14.0,5.0,13.0,Female,0.0
14731,56.0,3.0,21.0,3.0,4.0,Female,0.0
5265,43.0,1.0,16.0,5.0,40.0,Female,0.0
68246,49.0,3.0,19.0,1.0,35.0,Female,0.0
97102,57.0,1.0,19.0,3.0,40.0,Female,0.0
102422,21.0,1.0,18.0,5.0,40.0,Female,0.0
97612,24.0,3.0,19.0,5.0,20.0,Female,0.0
35907,46.0,1.0,19.0,5.0,35.0,Female,0.0
21309,32.0,1.0,20.0,1.0,30.0,Female,0.0
29494,50.0,2.0,21.0,2.0,37.0,Female,0.0
50418,44.0,3.0,17.0,1.0,37.0,Female,0.0
76767,22.0,1.0,21.0,5.0,42.0,Female,0.0
48345,56.0,7.0,22.0,2.0,25.0,Female,0.0
32779,46.0,3.0,20.0,1.0,20.0,Female,0.0
97943,21.0,1.0,19.0,5.0,30.0,Female,0.0
79404,59.0,1.0,16.0,1.0,50.0,Female,0.0
62906,26.0,1.0,22.0,5.0,35.0,Female,0.0
81915,39.0,1.0,18.0,1.0,40.0,Female,0.0
62022,24.0,1.0,21.0,5.0,40.0,Female,0.0
85906,49.0,2.0,22.0,3.0,40.0,Female,0.0
17741,23.0,1.0,14.0,5.0,60.0,Female,0.0
76702,20.0,1.0,19.0,5.0,15.0,Female,0.0
55892,63.0,4.0,21.0,1.0,40.0,Female,0.0
82726,61.0,3.0,19.0,1.0,40.0,Female,0.0
