AGEP,COW,SCHL,MAR,WKHP,SEX,INCOME
26,4,11,4,40,0,0
36,4,11,2,40,0,0
41,4,7,2,50,1,1
67,4,14,2,48,0,1
39,2,2,2,50,0,0
57,4,3,6,30,1,0
29,4,8,5,40,0,0
31,5,9,4,45,1,0
34,0,11,4,40,1,0
44,4,15,2,40,0,0
29,4,10,4,40,0,0
30,4,15,4,40,1,0
27,4,11,4,40,0,0
27,4,15,2,50,0,0
32,4,11,4,45,1,0
58,4,0,2,8,1,0
35,2,15,2,40,0,0
21,4,11,4,36,0,0
28,4,15,4,40,0,0
46,6,15,0,50,0,0
36,6,11,5,40,1,0
72,4,1,6,40,1,0
35,4,11,2,40,1,0
33,1,8,0,40,1,1
69,4,1,4,40,1,0
35,4,11,2,40,0,0
31,4,11,5,20,1,0
34,4,11,2,32,1,0
30,4,1,2,40,0,0
28,4,9,4,55,0,0
54,4,9,2,35,0,1
47,4,15,2,50,0,1
24,4,11,4,40,1,0
52,6,9,2,60,0,1
20,4,11,4,48,0,0
43,5,12,2,45,0,0
45,4,5,5,40,1,0
29,6,11,5,35,0,0
47,4,12,0,42,0,0
24,4,11,4,40,0,0
51,4,11,2,40,0,0
17,4,1,4,12,0,0
37,4,8,2,40,0,1
27,4,10,4,70,1,0
29,4,9,2,40,0,1
18,0,2,4,25,0,0
36,6,7,0,35,1,0
58,2,9,4,40,1,0
26,6,15,2,45,0,0
65,0,15,2,30,0,1
57,4,11,2,40,0,1
59,4,11,2,40,0,0
27,4,11,2,40,0,0
31,6,9,4,40,0,0
21,4,15,4,24,1,0
29,4,15,4,60,0,0
18,4,1,4,40,0,0
52,4,0,2,47,0,1
57,5,9,0,80,0,0
42,0,11,2,40,0,0
55,0,11,2,40,1,0
60,4,5,4,48,0,1
31,4,9,2,40,0,1
23,4,9,4,40,1,0
27,4,11,4,40,0,0
23,0,15,4,25,1,0
42,6,14,2,50,0,1
25,4,15,4,40,0,0
49,4,9,4,45,1,0
32,4,9,4,40,0,0
19,4,15,4,28,0,0
60,4,5,0,40,1,0
42,2,6,2,40,0,0
35,6,7,4,40,0,0
48,4,11,4,37,1,0
51,4,12,2,40,0,1
29,4,11,4,40,0,0
36,2,11,5,40,0,0
17,4,0,4,21,1,0
52,4,12,0,60,1,0
24,4,11,4,40,0,0
24,4,11,2,50,0,0
26,2,9,4,40,0,0
27,4,9,4,20,1,0
39,4,11,4,60,0,0
30,4,11,2,45,0,0
50,6,11,2,32,0,0
52,5,9,2,55,0,0
46,4,14,2,45,0,1
23,4,9,4,20,1,0
45,4,1,6,20,1,0
65,4,6,6,24,1,0
29,4,8,2,55,0,0
47,4,6,3,40,0,0
30,4,11,4,60,0,0
34,4,11,2,45,0,1
38,6,11,2,64,0,0
33,4,15,2,40,0,1
49,4,9,2,26,0,1
47,6,15,4,40,1,0
49,2,0,5,40,1,0
43,4,15,2,60,0,1
30,4,9,2,40,1,1
58,6,11,2,60,0,0
19,4,11,4,14,1,0
21,4,9,4,40,0,0
33,4,9,2,60,0,1
47,5,4,2,50,0,0
52,6,10,2,60,0,1
26,4,11,0,55,0,0
60,4,11,2,40,0,0
21,4,15,4,40,0,0
36,4,15,2,50,0,1
31,4,15,2,45,0,0
50,5,10,5,40,0,1
31,2,11,0,40,1,0
71,4,11,2,15,0,0
58,0,11,2,50,0,0
30,7,9,2,40,0,1
20,4,15,4,20,0,0
24,4,11,4,50,0,0
35,4,10,2,40,0,1
38,7,15,5,45,1,0
27,4,11,4,32,1,0
29,7,15,4,40,1,0
70,0,6,6,15,1,0
34,4,11,2,45,0,0
44,4,5,2,35,0,0
43,4,11,2,40,0,1
44,6,2,2,40,0,1
35,4,12,4,60,0,0
27,4,15,4,40,0,0
43,2,12,4,38,0,0
20,4,15,4,25,1,0
42,4,7,0,40,1,1
27,7,15,2,40,0,0
42,4,11,2,40,0,1
20,0,1,3,40,1,0
24,4,6,4,40,0,0
48,1,15,0,40,0,0
17,0,1,4,20,1,0
17,6,1,4,10,0,0
33,4,9,2,40,0,1
50,5,11,2,50,0,1
22,4,11,4,40,1,0
17,4,2,4,16,0,0
32,4,15,2,40,0,0
31,4,11,4,45,0,0
58,6,11,6,50,0,0
29,2,11,4,48,0,0
37,4,8,2,40,0,1
34,6,11,2,40,0,1
23,2,15,5,40,0,0
18,7,1,4,5,1,0
34,4,11,0,40,1,0
66,0,5,4,4,0,0
45,2,9,2,55,1,0
41,4,12,4,35,0,0
26,4,11,4,30,0,0
54,2,15,2,40,0,0
24,4,15,4,45,1,0
42,4,15,2,50,0,0
20,4,15,4,20,0,0
23,7,9,4,20,1,0
25,0,7,4,45,0,0
35,4,12,4,60,0,1
31,4,12,2,40,0,1
30,4,9,4,40,1,0
19,4,11,4,20,1,0
36,2,9,4,50,0,0
31,4,9,6,40,1,0
21,4,15,4,30,0,0
31,6,15,2,40,0,0
46,4,10,0,65,1,1
44,4,9,0,50,1,1
40,4,2,2,40,0,0
45,4,15,4,40,0,0
60,4,11,2,35,0,0
18,4,1,4,25,0,0
28,4,9,2,40,0,0
36,4,15,0,40,1,0
36,4,9,5,40,0,0
40,4,8,2,40,0,0
36,2,9,0,35,1,0
31,4,11,5,40,1,0
33,4,11,2,40,0,0
19,7,11,4,40,1,0
22,4,15,4,15,1,0
34,4,9,2,45,0,1
33,4,11,4,40,0,0
41,4,11,2,60,0,0
29,4,9,4,40,0,0
50,2,11,2,42,0,1
42,4,9,2,45,0,1
43,4,9,4,40,0,1
44,4,11,2,40,1,0
20,4,15,4,20,1,0
31,4,11,2,40,0,0
65,6,1,2,59,0,1
23,4,15,4,24,1,0
55,4,15,0,40,1,0
26,4,8,2,45,0,0
25,4,8,4,15,1,0
45,0,15,2,40,1,0
35,4,15,2,40,0,0
36,4,15,4,36,1,0
43,7,9,2,50,0,0
56,4,11,6,20,1,0
42,4,9,2,40,0,1
19,4,15,4,25,1,0
55,6,11,2,72,0,0
42,4,12,4,50,1,1
26,4,8,4,40,0,0
17,4,2,4,20,0,0
42,2,9,2,40,1,1
55,4,11,2,40,0,1
32,4,15,4,40,1,0
29,4,1,4,40,0,0
46,7,9,2,37,0,0
29,7,9,2,40,0,1
22,4,9,4,20,0,0
58,6,0,2,40,0,0
23,4,11,4,50,0,0
39,4,11,4,40,0,0
27,4,8,4,38,0,0
54,4,11,2,40,0,1
33,2,9,4,45,1,0
46,1,11,2,40,1,1
37,4,11,4,40,0,0
36,4,11,4,18,1,0
59,2,11,2,38,1,1
34,2,11,0,40,0,0
53,5,10,2,70,0,1
51,4,9,4,55,0,1
32,4,0,5,42,1,0
31,7,15,3,40,0,0
22,4,15,2,30,1,0
47,6,9,0,50,1,0
32,4,11,4,40,0,0
26,4,15,4,38,1,0
37,4,4,5,32,0,0
31,4,11,0,55,0,0
37,4,8,2,24,1,1
55,4,11,4,38,0,0
23,2,8,0,56,0,0
36,4,15,0,40,1,0
34,4,12,2,40,0,0
43,4,9,2,50,0,1
54,4,15,4,40,0,0
43,7,15,2,40,0,0
28,4,8,4,42,1,0
40,4,8,2,50,0,1
41,6,15,2,60,0,0
40,4,9,4,55,1,1
42,4,15,0,38,1,0
61,6,11,2,50,0,0
18,4,2,4,30,0,0
59,0,11,2,16,0,0
21,0,11,4,40,1,0
48,4,8,2,50,0,1
41,5,9,2,40,0,0
18,0,15,4,33,0,0
23,4,11,4,40,1,0
60,4,11,2,60,0,1
22,4,15,4,20,0,0
61,4,11,2,40,0,0
25,4,11,4,40,0,0
46,4,12,4,35,0,1
43,4,9,2,40,0,1
43,4,7,0,40,0,0
24,4,11,4,30,0,0
68,6,1,4,20,0,0
31,4,11,0,38,1,0
17,4,1,4,20,1,0
32,4,11,2,48,0,1
50,0,12,3,40,0,0
33,4,9,2,47,0,1
64,4,9,2,40,0,1
20,4,11,4,30,0,0
30,4,11,5,36,1,0
22,0,15,4,40,0,0
43,4,15,0,45,0,0
22,4,15,4,40,0,0
17,4,0,4,20,0,0
47,6,11,2,75,1,0
41,4,8,4,60,1,0
56,4,15,2,50,0,1
64,4,11,2,45,0,0
47,4,11,2,50,0,1
48,4,8,4,40,0,0
31,4,12,4,46,1,0
29,4,8,4,40,0,0
30,4,11,6,40,1,0
32,4,11,2,60,0,0
57,4,11,6,42,0,1
62,4,11,6,40,1,0
39,4,11,5,24,1,0
43,4,15,4,25,0,0
24,5,9,4,40,0,0
42,0,1,2,15,0,0
53,4,15,2,40,1,1
26,4,15,4,40,0,0
73,6,11,2,40,0,0
72,0,1,6,24,1,0
55,4,11,2,40,0,0
25,4,11,0,40,0,0
41,4,9,0,50,1,1
24,4,9,4,50,0,0
63,4,11,6,6,0,0
17,4,1,4,20,0,0
35,4,15,2,50,0,0
51,4,15,2,40,0,1
62,2,9,6,48,1,0
55,4,11,2,40,0,1
43,4,15,0,40,0,0
40,2,11,0,50,1,0
37,4,9,2,45,0,1
39,4,9,2,40,0,0
31,4,11,4,18,0,0
61,4,12,6,40,1,1
26,4,8,0,55,1,0
46,6,11,2,50,0,0
26,4,9,4,40,1,0
48,7,10,0,50,0,1
34,4,11,4,40,0,0
34,2,11,4,40,1,0
59,4,11,2,40,0,1
34,4,9,4,40,1,0
49,4,9,4,56,1,1
18,4,1,4,20,1,0
43,4,11,2,40,0,0
48,4,1,2,50,0,0
28,5,15,2,70,0,0
33,4,11,2,40,0,0
24,4,15,4,15,1,0
21,4,0,4,40,0,0
17,4,1,4,28,0,0
39,4,15,2,50,0,1
29,6,9,5,40,0,0
44,4,9,2,40,0,1
24,4,15,4,50,0,0
71,6,12,2,40,0,1
51,6,9,2,40,0,1
55,4,4,0,25,0,0
41,4,9,2,60,0,1
23,4,11,4,7,1,0
38,4,8,0,40,1,0
39,4,11,2,40,0,1
19,4,11,4,30,1,0
49,4,6,0,40,1,0
32,4,9,2,40,0,1
27,4,11,2,70,0,0
38,4,9,2,50,0,1
33,4,15,2,60,1,0
63,0,15,2,15,0,0
23,4,9,4,28,0,0
33,5,15,2,60,0,0
54,6,11,2,40,0,0
29,4,8,0,45,1,0
48,0,15,0,30,1,0
35,6,9,4,40,0,0
28,4,8,2,40,1,0
37,4,9,2,50,0,1
42,6,14,2,65,0,1
40,4,12,2,40,0,0
47,4,15,0,55,0,0
22,4,9,4,50,1,0
30,4,9,2,45,0,1
28,4,11,2,40,0,0
63,2,5,2,55,0,0
51,6,6,2,20,0,0
22,4,11,4,40,1,0
27,0,7,2,40,0,0
35,4,11,4,45,0,0
46,4,11,0,38,1,0
37,4,15,0,52,0,0
24,4,9,4,15,0,0
37,6,11,0,10,0,0
53,4,15,2,40,0,0
27,4,11,4,30,0,0
38,4,15,0,44,0,0
53,6,0,2,60,0,0
34,4,15,4,40,0,0
23,4,11,4,40,0,0
39,4,9,2,45,0,1
43,4,12,2,50,1,0
67,5,11,2,40,0,1
81,6,11,2,30,0,0
21,4,15,4,20,0,0
23,4,15,4,25,0,0
25,4,15,4,40,0,0
42,4,4,2,38,1,0
38,4,15,2,40,1,0
64,0,11,2,5,0,0
32,4,11,2,40,0,0
37,4,11,2,40,0,0
51,4,12,2,60,0,1
22,4,15,4,42,1,0
33,4,3,3,40,1,0
42,4,11,0,55,0,0
19,0,15,4,10,1,0
51,2,13,2,40,0,0
23,4,11,2,40,1,0
37,4,1,2,44,0,1
37,4,11,2,99,0,1
47,4,12,4,25,1,0
41,4,14,2,40,0,1
33,4,11,2,30,0,0
31,4,9,4,40,0,1
31,4,7,0,40,1,0
35,4,11,2,40,0,0
38,5,11,2,40,0,1
18,4,11,4,45,1,0
20,4,11,2,40,0,0
54,2,15,0,35,1,0
40,4,15,0,40,1,0
36,5,9,2,45,1,1
43,4,15,0,35,0,0
44,6,15,0,40,0,0
44,7,11,2,40,1,1
43,4,12,2,43,0,1
51,4,5,6,40,1,0
18,4,11,4,20,1,0
51,4,15,2,40,0,0
41,4,0,2,30,0,0
44,5,15,2,70,0,1
33,2,0,0,40,0,0
33,6,9,2,40,0,1
42,4,7,2,40,0,1
25,4,15,2,45,0,0
32,4,11,0,38,1,0
32,4,9,2,70,0,0
36,4,0,0,40,1,0
28,4,11,2,40,0,0
20,4,11,4,20,1,0
35,5,15,2,60,0,1
55,6,11,2,20,0,0
48,4,9,2,40,0,1
36,0,8,6,20,1,0
34,4,11,2,35,0,1
28,4,9,4,35,1,0
67,4,9,6,40,0,1
37,4,11,2,40,0,0
44,4,11,4,70,0,0
25,4,15,4,40,1,0
21,4,15,4,40,1,0
40,7,12,2,35,0,1
78,4,11,6,40,1,0
34,4,11,0,40,0,0
49,4,11,4,44,1,0
22,4,7,4,40,1,0
23,0,11,4,40,1,0
60,6,11,4,42,0,0
45,2,11,6,40,0,1
63,4,8,0,20,1,0
41,4,11,4,35,1,0
47,4,11,0,40,1,0
44,4,11,0,40,0,0
51,4,15,6,40,1,0
46,4,9,4,40,0,0
41,4,8,2,40,0,0
50,6,11,2,30,0,0
47,4,11,2,50,0,1
35,4,11,4,45,0,0
